Model,Parameter,Estimate,P-Value
Real ITS,Intercept,10.23082067101928,1.2458092171353157e-175
Real ITS,Pre-Trend,0.0465396270420486,5.929125521681536e-133
Real ITS,Level Change (tau1),9.605838142020135,2.990334965040979e-107
Real ITS,Trend Change (tau2),0.03080402819045213,2.959394679933759e-44
Placebo ITS,Intercept,10.154951315505581,1.8943590287077995e-85
Placebo ITS,Pre-Trend,0.047315753447107596,6.20780959806402e-25
Placebo ITS,Fake Level Change,0.13787248231906835,0.7860255857595858
Placebo ITS,Fake Trend Change,-0.0029355887531154565,0.6178841980011234
